     i	           x	          dx
   148	  1.40628891	  0.08294602
   149	  1.26849961	  0.06078049
   150	  1.34274985	  0.08670535
   151	  1.34035039	  0.04835460
   152	  1.33292865	  0.06161043
   153	  1.32126197	  0.10636333
   154	  1.20315019	  0.10690508
   155	  1.24064819	  0.06868906
   156	  1.38861772	  0.06704693
   157	  1.23929295	  0.06188135
   158	  1.36853911	  0.10188109
   159	  1.33644308	  0.05678290
   160	  1.24891267	  0.04720483
   161	  1.28853546	  0.06522542
   162	  1.22962800	  0.06103638
   163	  1.28132061	  0.07292782
   164	  1.32181899	  0.07809558
   165	  1.30346865	  0.08070422
   166	  1.39347198	  0.06840166
   167	  1.32256897	  0.07107154
   168	  1.34551184	  0.05923029
   169	  1.19632673	  0.09417608
   170	  1.32861119	  0.07183190
   171	  1.13663267	  0.10397201
   172	  1.32948468	  0.08287698
   173	  1.27208083	  0.06170194
   174	  1.28889012	  0.06773179
   175	  1.33149844	  0.05898094
   176	  1.40446654	  0.07906517
   177	  1.35254960	  0.06743011
   178	  1.38566190	  0.07067886
   179	  1.30226404	  0.09923412
   180	  1.48129870	  0.07090294
   181	  1.23374833	  0.11016414
   182	  1.33533111	  0.08922255
   183	  1.33281819	  0.04894991
   184	  1.38861225	  0.06695294
   185	  1.26391028	  0.06534262
   186	  1.25600983	  0.08749051
   187	  1.39223819	  0.08100124
   188	  1.26142034	  0.06236645
   189	  1.28674698	  0.06254414
   190	  1.34444155	  0.08057049
   191	  1.27385687	  0.04523963
   192	  1.34091102	  0.06709281
   193	  1.29756520	  0.05761283
   194	  1.27032689	  0.06745630
   195	  1.36066269	  0.08105947
   196	  1.26763889	  0.07643005
   197	  1.33077438	  0.04609799
   198	  1.39277447	  0.05855850
   199	  1.32773600	  0.06736817
   200	  1.24541262	  0.06393534
   201	  1.30658638	  0.05858572
   202	  1.26558277	  0.07961993
   203	  1.20065677	  0.07194868
   204	  1.30695524	  0.06295907
   205	  1.35846348	  0.07647132
   206	  1.33028760	  0.06341473
   207	  1.29611957	  0.06637375
   208	  1.35604368	  0.07814464
   209	  1.34499293	  0.05940515
   210	  1.37139545	  0.09704294
   211	  1.37911459	  0.06290189
   212	  1.26531110	  0.05801733
   213	  1.24763839	  0.04079391
   214	  1.31225425	  0.08414008
   215	  1.25103318	  0.06838249
   216	  1.27319635	  0.08450305
   217	  1.29668661	  0.11822390
   218	  1.31524790	  0.06201796
   219	  1.20021648	  0.07935767
   220	  1.36147880	  0.07062663
   221	  1.27603183	  0.07235319
   222	  1.23954852	  0.08547858
   223	  1.28201066	  0.06135989
   224	  1.23186823	  0.05892003
   225	  1.19356530	  0.09450669
   226	  1.32157190	  0.05458086
   227	  1.35343977	  0.07741965
   228	  1.24758024	  0.05347455
   229	  1.26809617	  0.06812841
   230	  1.29063434	  0.05512438
   231	  1.31407210	  0.06940825
   232	  1.28272612	  0.10207905
   233	  1.31122779	  0.06943016
   234	  1.32208634	  0.11454399
   235	  1.36124808	  0.15088846
   236	  1.24001419	  0.06013299
   237	  1.25480605	  0.05643948
   238	  1.30454844	  0.07662547
   239	  1.24911764	  0.07098862
   240	  1.24639216	  0.06575661
   241	  1.28227408	  0.06006228
   242	  1.33545000	  0.06474020
   243	  1.32633057	  0.07422910
   244	  1.25140520	  0.09000715
   245	  1.32989435	  0.07670484
   246	  1.27487743	  0.04918358
   247	  1.30819832	  0.07846133
   248	  1.34446098	  0.06447043
   249	  1.33011754	  0.04956997
   250	  1.29944344	  0.08516265
   251	  1.31315210	  0.06373591
   252	  1.49842762	  0.11448708
   253	  1.30111934	  0.08944171
   254	  1.24415820	  0.07056259
   255	  1.30738686	  0.06322358
   256	  1.34310699	  0.06709076
   257	  1.37173263	  0.08521309
   258	  1.34769216	  0.09449338
   259	  1.32519128	  0.05415526
   260	  1.29434940	  0.11182407
   261	  1.24977800	  0.07119846
   262	  1.33572362	  0.08418572
   263	  1.36827957	  0.07077686
   264	  1.40705030	  0.08606634
   265	  1.34723902	  0.08280705
   266	  1.27617167	  0.07501127
   267	  1.30123667	  0.05602929
   268	  1.33778625	  0.05436740
   269	  1.29170931	  0.05129259
   270	  1.24509832	  0.07526365
   271	  1.30089220	  0.05273165
   272	  1.31440335	  0.08636413
   273	  1.36044612	  0.06127317
   274	  1.27234210	  0.07491757
   275	  1.28290088	  0.06026410
   276	  1.27420041	  0.06155129
   277	  1.28938689	  0.06723218
   278	  1.32283368	  0.07411307
   279	  1.28879342	  0.05545393
   280	  1.36510050	  0.07510078
   281	  1.28603288	  0.08841735
   282	  1.30392371	  0.08591709
   283	  1.26178888	  0.07097675
   284	  1.33092113	  0.10202402
   285	  1.30103781	  0.06124839
   286	  1.23021995	  0.07669520
   287	  1.27842952	  0.08051181
   288	  1.29753463	  0.09487584
   289	  1.28291376	  0.07118201
   290	  1.35021188	  0.10619289
   291	  1.34619504	  0.05248567
   292	  1.37529946	  0.04004255
   293	  1.32554581	  0.05246178
   294	  1.37701193	  0.08782473
   295	  1.27360660	  0.08433656
   296	  1.24360293	  0.11971599
   297	  1.35244375	  0.09573312
   298	  1.40609536	  0.09046468
   299	  1.33146583	  0.08194306
   300	  1.27727352	  0.08530657
   301	  1.31830704	  0.07228202
   302	  1.28986100	  0.06423912
   303	  1.38121151	  0.06640463
   304	  1.30783487	  0.06645689
   305	  1.39346084	  0.07342344
   306	  1.33240211	  0.06249039
   307	  1.27753513	  0.07731337
   308	  1.26889625	  0.07978847
   309	  1.25470681	  0.07634763
   310	  1.24832029	  0.10758838
   311	  1.26414227	  0.06441658
   312	  1.33646263	  0.05845256
   313	  1.30930349	  0.06426489
   314	  1.36802826	  0.07297857
   315	  1.35346008	  0.08094606
   316	  1.28158747	  0.06714115
   317	  1.29507937	  0.05972446
   318	  1.31234575	  0.07030647
   319	  1.29098099	  0.11791108
   320	  1.24623838	  0.05407541
   321	  1.29399862	  0.07849128
   322	  1.35079827	  0.10056430
   323	  1.30422022	  0.09935679
   324	  1.18566896	  0.07181112
   325	  1.28140210	  0.08717423
   326	  1.36367913	  0.06469291
   327	  1.33891055	  0.06211170
   328	  1.31908702	  0.08885718
   329	  1.31633187	  0.06870198
   330	  1.29587969	  0.08491141
   331	  1.34959206	  0.06326263
   332	  1.29348584	  0.08262700
   333	  1.32381045	  0.06539949
   334	  1.30874397	  0.04178087
   335	  1.28532710	  0.07677567
   336	  1.29683179	  0.08054436
   337	  1.31268042	  0.05604172
   338	  1.24787924	  0.08985680
   339	  1.32423562	  0.06712969
   340	  1.31933200	  0.04099924
   341	  1.31950076	  0.05157535
   342	  1.33986498	  0.05788453
   343	  1.30483812	  0.04764801
   344	  1.25793486	  0.04951573
   345	  1.20213519	  0.06946715
   346	  1.28541361	  0.08645954
   347	  1.35938524	  0.08471285
   348	  1.37222156	  0.08667323
   349	  1.23408281	  0.07566333
   350	  1.35211366	  0.06152153
   351	  1.32162737	  0.07585627
   352	  1.30683903	  0.09605574
   353	  1.28307035	  0.06790627
   354	  1.31048099	  0.08165443
   355	  1.30226229	  0.08485036
   356	  1.19503751	  0.08752288
   357	  1.26026985	  0.09820776
   358	  1.41728279	  0.07228182
   359	  1.39051923	  0.07162656
   360	  1.30437129	  0.08629992
   361	  1.31486528	  0.06218271
   362	  1.43562911	  0.14739553
   363	  1.35247443	  0.12623379
   364	  1.24611539	  0.04568018
   365	  1.37420749	  0.11233532
   366	  1.35236425	  0.13088238
   367	  1.27959393	  0.06976726
   368	  1.32083098	  0.06907127
   369	  1.32037094	  0.09889676
   370	  1.32447928	  0.09564525
   371	  1.40694451	  0.07469275
   372	  1.28146212	  0.05438120
   373	  1.31965213	  0.04219154
   374	  1.24613828	  0.08114233
   375	  1.31532983	  0.08321603
   376	  1.30473993	  0.06686522
   377	  1.30228137	  0.04970658
   378	  1.27160102	  0.07039070
   379	  1.33375400	  0.07712464
   380	  1.37479951	  0.08158703
   381	  1.30858682	  0.08898918
   382	  1.36511846	  0.11605606
   383	  1.36258227	  0.07628470
   384	  1.36019438	  0.08318457
   385	  1.26086148	  0.06156715
   386	  1.34469682	  0.06158378
   387	  1.35088573	  0.06804511
   388	  1.33440400	  0.10380349
   389	  1.37157674	  0.04610516
   390	  1.28726057	  0.11134317
   391	  1.30875633	  0.07273022
   392	  1.35230806	  0.13059760
   393	  1.24114760	  0.10094363
   394	  1.27801058	  0.07091327
   395	  1.31207796	  0.08879840
   396	  1.27757950	  0.07442412
   397	  1.28483292	  0.07360518
   398	  1.28151983	  0.06707001
   399	  1.33513291	  0.07142435
   400	  1.35342413	  0.08809140
   401	  1.28893335	  0.07147005
   402	  1.32610160	  0.09119102
   403	  1.35636948	  0.08893378
   404	  1.33335242	  0.08304620
   405	  1.33938547	  0.06586875
   406	  1.28677685	  0.08383994
   407	  1.31047826	  0.08747983
   408	  1.33376657	  0.07435560
   409	  1.21244890	  0.08443019
   410	  1.28637913	  0.07367480
   411	  1.23534998	  0.06613954
   412	  1.30265241	  0.07590462
   413	  1.33579833	  0.05771492
   414	  1.27490574	  0.09267791
   415	  1.29200441	  0.06887402
   416	  1.22454515	  0.05294715
   417	  1.32825940	  0.05569084
   418	  1.36435647	  0.06956019
   419	  1.25118257	  0.07753660
   420	  1.28961073	  0.06708155
   421	  1.28068124	  0.04790810
   422	  1.27346834	  0.06695868
   423	  1.28867368	  0.06877956
   424	  1.32166600	  0.07926356
   425	  1.32726618	  0.08215082
   426	  1.28904227	  0.05719474
   427	  1.28163227	  0.07650824
   428	  1.21546178	  0.07216994
   429	  1.36228485	  0.06314237
   430	  1.36638398	  0.07052291
   431	  1.21074976	  0.06260269
   432	  1.27614117	  0.07638290
   433	  1.26526914	  0.06337515
   434	  1.24920633	  0.04572763
   435	  1.41138344	  0.06454709
   436	  1.26225579	  0.05717999
   437	  1.28144263	  0.10231493
   438	  1.25253359	  0.08515785
   439	  1.22844834	  0.07568736
   440	  1.31525173	  0.11077584
   441	  1.27029304	  0.08470365
   442	  1.25901000	  0.13604097
   443	  1.19985934	  0.07659188
   444	  1.22788486	  0.05323740
   445	  1.25833834	  0.06937003
   446	  1.28504240	  0.06027261
   447	  1.32596875	  0.04974052
   448	  1.32600088	  0.05028740
   449	  1.28108498	  0.09839128
   450	  1.33871394	  0.06949753
   451	  1.29766739	  0.04207317
   452	  1.32751658	  0.09164633
   453	  1.39298110	  0.05323040
   454	  1.29254236	  0.05783881
   455	  1.31546418	  0.06101737
   456	  1.35902482	  0.06657003
   457	  1.41027849	  0.05621251
   458	  1.28462756	  0.06871191
   459	  1.34609599	  0.07086930
   460	  1.27809158	  0.10125862
   461	  1.29490622	  0.08044690
   462	  1.32982649	  0.08674726
   463	  1.26614798	  0.12233656
   464	  1.28045102	  0.06152064
   465	  1.26936167	  0.07574454
   466	  1.29140061	  0.06497881
   467	  1.27097503	  0.05211283
   468	  1.28621581	  0.09880583
   469	  1.34430734	  0.07865959
   470	  1.34897175	  0.08920134
   471	  1.27732068	  0.07651660
   472	  1.34541541	  0.05971755
   473	  1.30723864	  0.06421129
   474	  1.25656302	  0.06336465
   475	  1.31244022	  0.07681399
   476	  1.36055772	  0.04164012
   477	  1.37844699	  0.07217826
   478	  1.33672682	  0.06027815
   479	  1.26808529	  0.07674116
   480	  1.40273328	  0.07607537
   481	  1.30317833	  0.07418437
   482	  1.28254465	  0.09737838
   483	  1.30581364	  0.05625200
   484	  1.30688867	  0.09021413
   485	  1.28578868	  0.07113261
   486	  1.25406044	  0.09677217
   487	  1.36196584	  0.09635228
   488	  1.33690391	  0.07490600
   489	  1.22213142	  0.08501072
   490	  1.29511856	  0.06953719
   491	  1.29825712	  0.09434896
   492	  1.31714087	  0.05096100
   493	  1.25010016	  0.08152533
   494	  1.29013229	  0.11583768
   495	  1.29064851	  0.06336458
   496	  1.29383419	  0.04913649
   497	  1.14108707	  0.06413173
   498	  1.22903123	  0.08909253
   499	  1.31079648	  0.05174782
   500	  1.35149007	  0.10529767
   501	  1.26767843	  0.09230295
   502	  1.31957497	  0.13578622
   503	  1.33825391	  0.07823872
   504	  1.24699618	  0.07316804
   505	  1.21625723	  0.09320097
   506	  1.21590277	  0.05444371
   507	  1.42108522	  0.12169936
   508	  1.31416162	  0.04812630
   509	  1.30561452	  0.04310687
   510	  1.29517500	  0.06775044
   511	  1.30092931	  0.12052110
   512	  1.33830321	  0.09660145
   513	  1.27365072	  0.06196420
   514	  1.29827708	  0.05729607
   515	  1.40268344	  0.05478413
   516	  1.13547665	  0.09897083
   517	  1.31896225	  0.06222099
   518	  1.29933381	  0.06604212
   519	  1.27501116	  0.07772205
   520	  1.28043333	  0.08300797
   521	  1.21726718	  0.06956211
   522	  1.33782099	  0.09803827
   523	  1.36901502	  0.05394522
   524	  1.24974116	  0.06116155
   525	  1.31801609	  0.06654222
   526	  1.36158293	  0.07240932
   527	  1.28422243	  0.05872367
   528	  1.26147754	  0.07758236
   529	  1.28137863	  0.07975339
   530	  1.25836075	  0.04000103
   531	  1.12338734	  0.11173431
   532	  1.34927780	  0.12970543
   533	  1.35419525	  0.07796269
   534	  1.22088393	  0.07228398
   535	  1.31841813	  0.09298096
   536	  1.32231413	  0.06869456
   537	  1.29285138	  0.07257119
   538	  1.28947731	  0.08518884
   539	  1.30266445	  0.06949898
   540	  1.27786600	  0.05336547
   541	  1.27217475	  0.07337266
   542	  1.35108763	  0.12283495
   543	  1.30158726	  0.06760008
   544	  1.32311543	  0.09543026
   545	  1.34646068	  0.06467883
   546	  1.31021544	  0.04955102
   547	  1.41946725	  0.07509236
   548	  1.34351494	  0.06564372
   549	  1.21474808	  0.05934415
   550	  1.36239830	  0.08249155
   551	  1.35644875	  0.05769713
   552	  1.36189728	  0.04182063
   553	  1.30808642	  0.04788725
   554	  1.25259201	  0.05355628
   555	  1.25808815	  0.08003371
   556	  1.31284687	  0.05821766
   557	  1.31611987	  0.06473977
   558	  1.39585716	  0.09709489
   559	  1.28644941	  0.07188417
   560	  1.27605170	  0.07825291
   561	  1.36353369	  0.04699419
   562	  1.31282614	  0.07362737
   563	  1.36075383	  0.08777993
   564	  1.36452358	  0.05277947
   565	  1.31059054	  0.04200988
   566	  1.27890667	  0.11574070
   567	  1.35116859	  0.11352939
   568	  1.31891515	  0.06290332
   569	  1.30330757	  0.13914755
   570	  1.25642562	  0.06409999
   571	  1.23235659	  0.05797848
   572	  1.31691206	  0.03877848
   573	  1.30623160	  0.04562387
   574	  1.34887491	  0.07209690
   575	  1.39604937	  0.07404794
   576	  1.36794838	  0.05698912
   577	  1.31656624	  0.06477369
   578	  1.36159467	  0.05652456
   579	  1.33105402	  0.07149710
   580	  1.18555916	  0.06895666
   581	  1.37542268	  0.11918175
   582	  1.30954562	  0.11811114
   583	  1.38239289	  0.03844409
   584	  1.40280791	  0.10844734
   585	  1.32718219	  0.08748711
   586	  1.40304124	  0.06404484
   587	  1.29920637	  0.05695676
   588	  1.29668882	  0.04905051
   589	  1.31461312	  0.07969521
   590	  1.28585829	  0.07863662
   591	  1.21888001	  0.10832331
   592	  1.28084457	  0.08568169
   593	  1.25577408	  0.07731129
   594	  1.35047254	  0.07993536
   595	  1.33811477	  0.05452407
   596	  1.36178267	  0.07254276
   597	  1.30674303	  0.08571531
   598	  1.31085467	  0.05282868
   599	  1.37269737	  0.04382220
   600	  1.36378568	  0.05506172
   601	  1.31116866	  0.08080712
   602	  1.35138320	  0.09431712
   603	  1.29022879	  0.12152089
   604	  1.39613054	  0.10303976
   605	  1.28972814	  0.09535511
   606	  1.22546100	  0.06563901
   607	  1.19954120	  0.07794817
   608	  1.21673398	  0.06631778
   609	  1.30002089	  0.11882777
   610	  1.25110231	  0.10307110
   611	  1.31996717	  0.11535691
   612	  1.30332507	  0.08778588
   613	  1.27353121	  0.07826618
   614	  1.33173486	  0.09593670
   615	  1.30873680	  0.05684609
   616	  1.39213582	  0.10000266
   617	  1.30294926	  0.06126909
   618	  1.27410202	  0.06109204
   619	  1.34155248	  0.05624186
   620	  1.45366229	  0.05757577
   621	  1.30242025	  0.07097195
   622	  1.32734574	  0.07926307
   623	  1.32497145	  0.06284632
   624	  1.40010927	  0.05575510
   625	  1.33235500	  0.05728002
   626	  1.33512906	  0.09304087
   627	  1.33636179	  0.07159797
   628	  1.28796797	  0.04667702
   629	  1.40510874	  0.06380247
   630	  1.40744045	  0.09592449
   631	  1.33047415	  0.11829835
   632	  1.33542854	  0.07807485
   633	  1.29795924	  0.05747545
   634	  1.33744937	  0.06366621
   635	  1.21148043	  0.07851933
   636	  1.20655235	  0.06704316
   637	  1.25489064	  0.08576559
   638	  1.27194767	  0.08299101
   639	  1.29167180	  0.09523222
   640	  1.27040985	  0.08704745
   641	  1.32816768	  0.05350700
   642	  1.30515005	  0.11243984
   643	  1.41781727	  0.06824874
   644	  1.35255505	  0.07105233
   645	  1.26554462	  0.07211168
   646	  1.22008509	  0.07995212
   647	  1.37708118	  0.06042387
   648	  1.30854212	  0.05827408
   649	  1.29764082	  0.05947248
   650	  1.34996732	  0.04898999
   651	  1.28894417	  0.06752731
   652	  1.26585434	  0.08941215
   653	  1.26882938	  0.09087620
   654	  1.34727377	  0.08388007
   655	  1.29849559	  0.07618103
   656	  1.29288067	  0.06316336
   657	  1.27778577	  0.04988862
   658	  1.39950031	  0.05015024
   659	  1.33960545	  0.05356587
   660	  1.32972036	  0.11447255
   661	  1.30616455	  0.09278145
   662	  1.24912392	  0.04872218
   663	  1.32007319	  0.07626656
   664	  1.39021717	  0.06832290
   665	  1.36218111	  0.07009571
   666	  1.25943221	  0.08560779
   667	  1.34146702	  0.04648350
   668	  1.35565111	  0.09214191
   669	  1.32421891	  0.07827801
   670	  1.25173511	  0.08547047
   671	  1.35758379	  0.05184403
   672	  1.34997467	  0.06472986
   673	  1.30041152	  0.08268562
   674	  1.07679128	  0.15363888
   675	  1.26871523	  0.08474926
   676	  1.27705943	  0.05473680
   677	  1.31562782	  0.06587203
   678	  1.29962933	  0.08956729
   679	  1.30228122	  0.07592982
   680	  1.28205072	  0.06558578
   681	  1.35380640	  0.05564129
   682	  1.29178208	  0.08162028
   683	  1.40312663	  0.06270244
   684	  1.37573169	  0.08007190
   685	  1.33813375	  0.10856727
   686	  1.35339690	  0.08540511
   687	  1.33971822	  0.05690533
   688	  1.32722306	  0.05465568
   689	  1.37820304	  0.06881770
   690	  1.32808903	  0.07069366
   691	  1.40144698	  0.05317449
   692	  1.34236797	  0.07096340
   693	  1.30863384	  0.07786930
   694	  1.20998355	  0.10988289
   695	  1.31988181	  0.08073271
   696	  1.31097189	  0.11292110
   697	  1.23610504	  0.09663627
   698	  1.34448234	  0.10145484
   699	  1.39643509	  0.07853263
   700	  1.26123796	  0.05224381
   701	  1.25933123	  0.06190651
   702	  1.33150375	  0.06241021
   703	  1.36099733	  0.09010014
   704	  1.20889866	  0.07129736
   705	  1.31594961	  0.05013565
   706	  1.24939797	  0.07833986
   707	  1.26028649	  0.07480401
   708	  1.17366434	  0.10265557
   709	  1.28182372	  0.09947313
   710	  1.21695401	  0.07642017
   711	  1.30494380	  0.05090879
   712	  1.26601819	  0.06205855
   713	  1.29727435	  0.10855736
   714	  1.31607305	  0.08098380
   715	  1.30094117	  0.12179203
   716	  1.28330932	  0.14054909
   717	  1.37350025	  0.07451166
   718	  1.23800441	  0.12493732
   719	  1.24258393	  0.06942598
   720	  1.30246835	  0.06975893
   721	  1.32624004	  0.07139522
   722	  1.26891498	  0.08274673
   723	  1.17374344	  0.06205413
   724	  1.32435443	  0.06164210
   725	  1.26230846	  0.07706274
   726	  1.29256796	  0.08056898
   727	  1.34725076	  0.08165153
   728	  1.37264085	  0.07359013
   729	  1.37245041	  0.05981003
   730	  1.32163513	  0.06247911
   731	  1.27516693	  0.06915730
   732	  1.32967178	  0.08220660
   733	  1.29156690	  0.07279601
   734	  1.20767178	  0.09485261
   735	  1.29543146	  0.16363767
   736	  1.31966226	  0.10969701
   737	  1.31517342	  0.04917022
   738	  1.37526590	  0.09658546
   739	  1.40776354	  0.06851829
   740	  1.34629301	  0.05512702
   741	  1.26460958	  0.09700991
   742	  1.33855508	  0.07204594
   743	  1.23806035	  0.06048928
   744	  1.26665455	  0.08934417
   745	  1.28890307	  0.03740435
   746	  1.20587980	  0.05784234
   747	  1.21708874	  0.11076558
   748	  1.33275739	  0.05438801
   749	  1.30824199	  0.06340924
   750	  1.33758662	  0.07036927
   751	  1.31435895	  0.09840961
   752	  1.23503810	  0.13184488
   753	  1.28404359	  0.06601039
   754	  1.41213297	  0.10565961
   755	  1.34734588	  0.10319473
   756	  1.30505242	  0.05287815
   757	  1.31610442	  0.07704348
   758	  1.29977216	  0.08568695
   759	  1.25522938	  0.06138894
   760	  1.36051250	  0.12486403
   761	  1.36119810	  0.06361325
   762	  1.35024197	  0.09401052
   763	  1.35240116	  0.08426500
   764	  1.29492941	  0.09693175
   765	  1.30526215	  0.07500095
   766	  1.30301487	  0.08837646
   767	  1.35612977	  0.07212948
   768	  1.25386506	  0.07095102
   769	  1.29390893	  0.07617288
   770	  1.33557066	  0.07417758
   771	  1.35877571	  0.06293160
   772	  1.31268355	  0.06290093
   773	  1.30185910	  0.05490800
   774	  1.25402997	  0.03889432
   775	  1.31751281	  0.08946925
   776	  1.40083553	  0.08124239
   777	  1.29282270	  0.05981915
   778	  1.29490302	  0.08288383
   779	  1.38141616	  0.06051096
   780	  1.32580555	  0.06518781
   781	  1.26609539	  0.07063283
   782	  1.36472113	  0.05547966
   783	  1.23657662	  0.06548285
   784	  1.37270065	  0.06214975
   785	  1.32110247	  0.06856911
   786	  1.26300547	  0.09758150
   787	  1.31625581	  0.05047826
   788	  1.31925917	  0.04904717
   789	  1.33789582	  0.06289784
   790	  1.29923356	  0.06632988
   791	  1.29557380	  0.06070921
   792	  1.26137754	  0.06690440
   793	  1.34492226	  0.06548750
   794	  1.34848037	  0.04628240
   795	  1.19038282	  0.09237274
   796	  1.12316528	  0.13537132
   797	  1.32164113	  0.12426291
   798	  1.38496533	  0.13060357
   799	  1.30666381	  0.06029276
   800	  1.32288660	  0.08931330
   801	  1.38387114	  0.08912061
   802	  1.31024014	  0.03722600
   803	  1.25955542	  0.05569122
   804	  1.29167250	  0.06401040
   805	  1.37367673	  0.12011988
   806	  1.37831720	  0.06960538
   807	  1.40420511	  0.06459450
   808	  1.39838191	  0.08026181
   809	  1.33029452	  0.05049120
   810	  1.29263155	  0.08599135
   811	  1.27176054	  0.09100367
   812	  1.25132126	  0.10573730
   813	  1.29825412	  0.07957636
   814	  1.31412297	  0.07945837
   815	  1.37145737	  0.06235968
   816	  1.31484352	  0.09408222
   817	  1.25773820	  0.07182756
   818	  1.33232223	  0.08519384
   819	  1.33013182	  0.06730851
   820	  1.34380355	  0.06792120
   821	  1.40711865	  0.07626222
   822	  1.32039687	  0.07850542
